id,name,link,ingredients,allergensraw,allergensmapped
39,Basmati,https://world.openfoodfacts.org/product/5010034013681,"steamed basmati rice , sunflower oil",empty,
40,Aromatic & fluffy basmati rice 250g pack,https://world.openfoodfacts.org/product/5000358218312,"cooked basmati rice  water, basmati rice sunflower oil",empty,
41,Tilda Coconut Basmati Rice,https://world.openfoodfacts.org/product/5011157888316,"natural basmati rice  steamed , coconut cream  desiccated coconut , sunflower oil, lime leaf",empty,
42,Basmati Rice,https://world.openfoodfacts.org/product/5016805010156,"steamed basmati rice , sunflower oil, acidity regulator glucono delta lactone",empty,
43,Spicy mexican basmati rice,https://world.openfoodfacts.org/product/5011157888187,"natural basmati ricesteamed , tomatoes, pinto beans , onions, sunflower oil, tomato paste, smoked papika , salt, jalapeno chilli , coriander, sugar, oregano, pepper sauce, cumin natural colour paprika extract, natural flavouring lime peel",empty,
44,Brown Basmati Rice,https://world.openfoodfacts.org/product/01796124,"cooked parboiled brown basmati rice  sunflower oil, salt",empty,
45,Caribbean Rice & Peas Basmati Rice,https://world.openfoodfacts.org/product/5011157994352,"natural basmati rice  steamed , kidney beans , coconut cream , onions, red peppers capsicum , sunflower oil, red chilli , jalapeno chilli , garli thyme, salt, pimento",empty,
46,Brown basmati,https://world.openfoodfacts.org/product/4056489240846," cooked brown basmati rice water, brown basmati rice,  cooked red quinoa water, red quinoa,  pumpkin seeds,  sunflower seeds, vegetable oil sunflower oil or rapeseed oil, vegetable bouillon salt, yeast extract, dextrose, potato starch, onion extract, dried carrot, dried parsley, colour curcumin, herb extracts marjoram extract, thyme extract, sage extract, pepper extract,",empty,
47,Lemon & Herb Basmati Rice,https://world.openfoodfacts.org/product/5011157888323,"natural basmati rice  steamed , sunflower oil, lemon juice , lemon zest , salt, basil , parsley , natural flavourings number of uses",empty,
48,Tesco Finest Chicken and Chestnut Mushroom With Basmati Rice,https://world.openfoodfacts.org/product/5057967462919,"in bold caution although every care has been taken to reove bones, some may remain recycling after purchase cleanlid on pot tions  of a pot g kj",empty,
49,Peri Peri Basmati Rice,https://world.openfoodfacts.org/product/5011157995427,"natural basmati ricesteamed , onions, red peppers , green peppers , sunflower c tomato paste , white wine vinegar, peri peri sauce  water, vinegar, rapeseed oil, birds eye chilli powder lt,, salt, cornflour, onion powder, lemon juice, lt,, paprika, red chill , lemon zest , vegetable stock powder rice flour, salt, onions, parsnips, carrots, olive oil, turmeric, parsley, garlic ,, smoked paprika , salt, oregano , parsley, turmeric  queeze ouch cm tear strip b mins e inspiration   serve  enjoy microwave w stir fry for  mins ke care when handling the heated pouch microwave ovens may vary just cooking time accordingly best served hot but can be consumed cold reference intake of an average adult",empty,
50,Basmati micro rice,https://world.openfoodfacts.org/product/5054781024828,"cooked basmati rice  water, basmati rice, sunflower oil, salt",empty,
51,Spanish Potato And Onion Omelette,https://world.openfoodfacts.org/product/5052319376135,"potato , egg, onion , sunflower oil, salt, olive oil, acidity regulator citric acid",eggs,egg
52,spanish spinach omelette,https://world.openfoodfacts.org/product/5010292956744,"potatoes , pasteurised free range egg  free range egg, salt and aicidity regulator citric acid, fried onion  onion, olive oil and salt, sunflower olive and olive oil  allergy advice for allergens see ingredients in bold",eggs,egg
53,Riz a la cantonaise,https://world.openfoodfacts.org/product/3248833087967,"riz thai cuit  eau, riz, eau, omelette , œufs entiers, eau, huile de colza, farine de mais, sel, poivre, curcuma, paprika, jus de citron, jambon superieur fume , jambon de porc, eau, sel, sirop de glucose, aromes naturels, bouillon de legumes, ferments, petits pois ,, carottes ,, oignons prefrits dont huile de tournesol, fond de volaille jus et graisse de volaille  poulet, dinde, canard, oie, carottes, sel, aromates, huile de colza, sel, extrait de langoustines, gingembre ,, huile de sesame grille","celery, crustaceans, eggs, milk, sesame seeds","milk, egg, shellfish, sesame"
54,Spanish Potato Tortilla Omelette,https://world.openfoodfacts.org/product/5010292956768,"potatoes , pasteurised free range egg  free range egg and salt, fried onion  onion, olive oil and salt,",eggs,egg
55,Spanish potato omelette,https://world.openfoodfacts.org/product/5010292956720,"potatoes , pasteurised free range egg  free range egg and salt, fried onion  onion, olive oil and salt, sunflower oil and olive oil ",eggs,egg
56,Tortilla aux oignons,https://world.openfoodfacts.org/product/20879709," potatoes, egg,  cooked onions  onion, olive oil, salt, lemon juice, sunflower oil, olive oil, salt, from freerange hens,",eggs,egg
57,Tortilla oignon,https://world.openfoodfacts.org/product/3564700695951,"pommes de terre   , œufs pasteurises   œufs, sel, acidifiant  acide citrique , oignons frits   oignons, huile dolive, sel , huile de tournesol , huile d olive vierge",eggs,egg
58,potato and onion tortilla,https://world.openfoodfacts.org/product/4061464451490,"potato, pasteurised egg, onion, sunflower oil, olive oil , salt",eggs,egg
59,Roasted red pepper and vegetable tortilla,https://world.openfoodfacts.org/product/29343997,potatoes  pasteurised egg  roasted red peppers  courgette  sunflower oil ge onions  spinach  salt olive oil  acidity regulator citric acid for allergens see ingredients in bold suitable for vegetarians,eggs,egg
60,Tortilla aux Epinards,https://world.openfoodfacts.org/product/20645397,"  cooked potatoes potatoes, sunflower oil   pasteurized egg,   spinach, olive oil, salt, from hens raised on the ground,",eggs,egg
61,Spanish Omelette with Red & Green Peppers,https://world.openfoodfacts.org/product/20645403," potatoes,  pasteurized eggs  eggs , salt,  red peppers,  green peppers, sunflower oil, grilled onions onions, olive oil, lemon juice, olive oil,",eggs,egg
62,Spanish Red Pepper Omelette,https://world.openfoodfacts.org/product/5010292956782,"potatoes , pasteurised free range egg  free range egg and salt, roasted red pepper  pepper, acidity regulator citric acid and salt, sunflower oil and olive oil ",eggs,egg
63,Tortilla Espanola aux Oignons 500g,https://world.openfoodfacts.org/product/8420056041017,"pommes de terre frites  pomme de terre et huile de tournesol, ceuf liquide pasteurise , oignon frite  oignon, huile dolive vierge et se, huile dolive,sel quot,cuf de poules elevees au sol valeurs nutri moyennes po",eggs,egg
64,Riz cantonais,https://world.openfoodfacts.org/product/3270190202769,"riz thai cuit , eau, riz thai, jambon cuit superieur  jambon de porc, sel, bouillon deshydrate viande de porc et os de porc, aromes naturels contient naturellement des polyphenols, antioxydant  acide ascorbique, petit pois ,, omelette brouillee , œuf entier, eau, farine de mais, sel, jus de citron concentre, carotte ,, oignon prefrit ,oignon ,, huile de tournesol, sauce de poisson nuocmam anchois, sel, eau, huile de colza, ail en poudre, epices coriandre, fenouil, anis, cannelle, poivre noir, clou de girofle en poudre viande de porc origine france peut contenir des traces de cereales contenant du gluten, celeri, moutarde et graines de sesame","eggs, fish","egg, fish"
65,Tortilla de pomme de terre aux oignons 500g,https://world.openfoodfacts.org/product/3256227769467,"pommes de terre , oeufs liquides pasteurises issus de poules elevees en plein air , oignons , huile de tournesol, huile dolive, sel origines pommes de terre europe etou asie etou afrique, oeufs europe, oignons espagne selon les approvisionnements",eggs,egg
66,Riz A la cantonaise,https://world.openfoodfacts.org/product/3560071191467,"cooked parboiled long grain rice  water, rice , omelette  whole egg , water, corn flour, salt, lemon juice concentrate, pepper, superior cooked ham  pork ham, salt, natural flavors, pork meat and bone broth, peas , sunflower oil, soy sauce water, soybean, wheat, salt, natural flavor, dehydrated onion powder, salt, dehydrated garlic powder, stabilizer guar gum,","eggs, gluten, soybeans","egg, wheat, soy"
67,Tortilla de pommes de terres et oignons,https://world.openfoodfacts.org/product/3596710529568,"pommes de terre frites  pommes de terre, huile de tournesol, œufs pasteurises issus de poules elevees en plein air , oignons frits  oignons, huile dolive vierge, sel, huile dolive, sel pourcentages exprimes sur le total de la recette",eggs,egg
68,Potato And Onion Tortilla,https://world.openfoodfacts.org/product/5052514017093,"fried potato  potato, sunflower oil, pasteurised free range liquid egg egg, salt, fried onion  onion, virgin olive oil, salt, olive oil, salt",eggs,egg
69,Riz cantonais IDS 1kg,https://world.openfoodfacts.org/product/3250390037477,"riz basmati cuit , eau, riz basmati, eau, omelette , œufs entiers, eau, huile de colza, amidon de pommes de terre, sel, jus de citron concentre, jambon cuit superieur fume , jambon de porc origine  france, eau, sel, sirop de glucose, aromes naturels, bouillon de legumes blette, carotte, ferments, carottes ,, petits pois ,, oignons prefrits , oignons, huile de tournesol, sauce poisson poissons, sel, sucre, aromes naturels, farine de ble, gingembre, ail deshydrate, sel pourcentages exprimes sur le poids net total","eggs, fish, gluten","egg, wheat, fish"
70,tortilla nature,https://world.openfoodfacts.org/product/3564700695913,"pommes de terre   , œufs pasteurises   œufs, sel, acidifiant  acide citrique , huile de tournesol , huile dolive vierge",eggs,egg
71,crab meat,https://world.openfoodfacts.org/product/5011826120105,"crab meat crustacean, water, sugar, salt, flavour enhancers stabilisers polyphosphates and diphosphates, acidity regulator citric glycine and its sodium salt, disodium guanylate and disodium inosinate, acid, preservative sodium metabisulphite",crustaceans,shellfish
72,Kickin Crab Rangoon,https://world.openfoodfacts.org/product/0016000106109,"bleached wheat flour, niacin vitamin b, iron, thiamine mononitrate vitamin b riboflavin, enzymes, folic acid vitamin b",gluten,wheat
73,Chair de crabe,https://world.openfoodfacts.org/product/3329150430015,"chair de crabe crustace, eau, sucre, sel, arome naturel, stabilisant  carbonate de sodium, acidifiant  acide citrique, antioxydant  disulfite de sodium",crustaceans,shellfish
74,Rillettes au crabe,https://world.openfoodfacts.org/product/3596710453252,"colin dalaska poisson, chair de crabe  chair de crabe vert crustace , chair de crabe tourteau crustace , huile de colza , saumon poisson, fromage blanc  contient lait origine france , fibre de ble, amidon de mais, sel , sauce soja eau, graine de soja, ble, sel, poivre blanc  traces eventuelles de mollusques, œuf, fruits a coque, sulfites, celeri, graines de sesame et moutarde","crustaceans, fish, gluten, milk, soybeans","milk, wheat, soy, fish, shellfish"
75,Crab & Crayfish raviolo,https://world.openfoodfacts.org/product/5024271112007,"filling  crab and crayfish mix  crab meat crustacean, crayfish crustacean, salt, dill, surimi chunks  water, surimi fish meat, starch wheat, sunflower oil, sugar, salt, flavouring crustacean, egg white powder, colour paprika extract, salted butter butter milk, salt, breadcrumbs wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, yeast, salt, lemon juice , mayonnaise rapeseed oil, free range pasteurised whole egg and egg yolk, water, spirit vinegar, sugar, salt, lemon juice, flavouring, antioxidant calcium disodium edta, paprika extract, flat leaf parsley, coriander, chilli, lobster stock lobster infusion water, tapioca, lobster crustacean, salt, cornflour, salt, sugar, tomato paste, yeast extract, anchovy puree fish, sunflower oil, cod fish powder, lemon juice concentrate, garlic puree, salt, yeast pasta  durum wheat semolina, water, pasteurised free range egg  allergen advice for allergens including cereals containing gluten, see ingredients in bold may contain traces of soy, mustard and molluscs","crustaceans, eggs, fish, gluten, milk","milk, egg, wheat, fish, shellfish"
76,Panzerotti With A Mediterranean Style Pesto Filling,https://world.openfoodfacts.org/product/20570248,"past farce crevetes crustaces, ricota actoserum aitcame lait secomecteur dacidite acide citrique, lactoserum en poudre lait, pommes de tere enganules, chapelure farine debe sel, levure de biere, semoule de ble dur, fibres vegetales bambou pois plantain des indes, eau melange de legumesceleri, carote, oignon sel chairde crabe nustaces, huile de tounes arome, vin blanc sulfites  pates aux ceufs semoule de ble dur, eufeaussude poules elevees au sol peut contenir des traces de poisson, de fruits a coque et de saja","celery, crustaceans, gluten, milk, sulphur dioxide and sulphites","milk, wheat, shellfish"
77,Salade au long crabe,https://world.openfoodfacts.org/product/5400101056152,"dressing  huile de colza, eau, jaune doeuf, vinaigre, moutarde vinaigre, graines de moutarde, sel, curcuma, sel, sucre, extraits de plantes aromatiques et depices, stabilisants  ee, surimi  chair de poissons, eau, blanc doeuf deshydrate reconstitue, amidon de ble, huile de colza, proteines de soja, sucre, sel, arome naturel de crabe, colorant  ec, oeuf cuit dur oeuf, sel, acidifiants  eeeiii, crabe ,, crabe royal , crabe royal, sel, acidifiant  e, acidifiants  eei, vinaigre, dextrose, sel, arome naturel moules, crevettes, poissons, algues marines, extrait de levure, acidifiant  e, jus de citron, sauce poisson anchois, sel, sucre, sirop de glucosefructose, sauce huitre huitre, eau, sucre, sel, amidon de mais, conservateur  e, crabe en poudre ,, crevettes grises en poudre, conservateur  e peut contenir des traces de celeri, graines de sesame et lait","crustaceans, eggs, fish, gluten, molluscs, mustard, soybeans","egg, wheat, soy, fish, shellfish"
78,Seafood Sticks,https://world.openfoodfacts.org/product/00347266,"water, surimi  alaska pollock fish andor pacific hake fish, sugar, potato starch, sugar, wheat starch, rapeseed oil, salt, dried free range egg white, flavouring contains crustaceans, lycopene, dried free range egg","crustaceans, eggs, fish, gluten","egg, wheat, fish, shellfish"
79,Crab Classic Imitation Crab Flake Style,https://world.openfoodfacts.org/product/0715166138145,"alaska pollock msc certified, water, egg whites, corn starch, sugar, sorbitol, contains  or less of king crab meat, natural and artificial flavor extracts of blue crab, snow crab, lobster, and alaska pollock, refined fish oil anchovy, sardine, rice wine water, rice, koji, modified tapioca starch, sea salt, carrageenan, yam flour, potassium chloride, disodium inosinate, sodium pyrophosphate, soy lecithin, carmine, paprika, color added","crustaceans, eggs, fish, soybeans","egg, soy, fish, shellfish"
80,Crab salad,https://world.openfoodfacts.org/product/0026971353204,"imitation crab, water, wheat starch, sugar, sorbitol, contains  or less of mirin, natural and artificial crab flavor, egg whites, modified corn starch, sodium tripolyphosphate, tetrasodium pyrophosphate, soy protein isolate, carrageenan, sodium acid pyrophosphate, color added, soy sauce, sour cream, cultured cream, skim milk, whey, food starchmodified, gelatin, salt, sodium citrate, citric acid, lactic acid, potassium sorbate, sodium benzoate, mustard, distilled vinegar, lemon juice concentrate, horseradish, soybean oil, egg yolks, high fructose corn syrup, corn syrup, water, salt, xanthan gum, calcium disodium edta, paprika, spices, phosphoric acid, polysorbate , lemon oil, garlic powder, onion powder, paprika extract","eggs, gelatin, gluten, milk, mustard, soybeans","milk, egg, wheat, soy"
81,"Blue crab soup, spicy maryland",https://world.openfoodfacts.org/product/0727839528160,"double filtered water, tomato paste, blue crab, mixed vegetables carrots, corn, green beans, peas, lima beans, salt, diced tomatoes, worcestershire sauce distilled white vinegar, molasses, water, sugar, onions, anchovies, salt, garlic, cloves, tamarind extract, natural flavorings, chili pepper extract, sherry wine, lemon juice, a special blend of herbs  spices, aged cayenne peppers, sea salt, celery seed, black pepper, natural gum","celery, fish",fish
82,Rillettes de Crabe,https://world.openfoodfacts.org/product/3234750022037,"chairs de crabe et de tourteau , creme fraiche, filets de poissons blancs, oignons, epaississant  carraghenane, proteine de lait, sel, poivre peut contenir des traces de gluten, mollusques et œufs","crustaceans, fish, milk, mustard, sulphur dioxide and sulphites","milk, fish, shellfish"
83,Miettes de crabe,https://world.openfoodfacts.org/product/3329150370304,"crabe crustace dont chair  et pattes  minimum, eau, sucre, sel, arome naturel, acidifiant  acide citrique, antioxydant disulfite de sodium bien egoutter avant utilisation",crustaceans,shellfish
84,"Three crabs, fish sauce",https://world.openfoodfacts.org/product/7935737788880,"anchovy extract, salt, water, fructose  hydrolysed vegetable protein",fish,fish
85,Fifty Fifty Crab,https://world.openfoodfacts.org/product/5060212470034," white crab meat crustacean,  brown crab meat crustacean",crustaceans,shellfish
86,Nissin Cup Noodles Black Pepper Crab Flavour,https://world.openfoodfacts.org/product/8888279640019,"wheat flour, palm oil antioxidants b, , sugar, flavour enhancers , , tapioca starch, seasoning oil palm oil, sesame oil, crab flavouring, dehydrated egg, salt, hydrolysed plant protein soya, dehydrated crab flavoured stick fish, spices pepper, garlic, thickener , dehydrated vegetables spring onion, coriander leaves, creamer glucose, palm fat, sodium caseinate, black pepper seeds, flavouring powder crab flavouring, yeast extract, colours a, c, a, , chicken extract chicken, chicken flavouring, acidity regulators , , , , , , , , soya sauce soya, wheat, stabilisers , , , , emulsitier anticaking agent  this product contains wheat, crustacean, egg, fish, soya, milk, sesame","crustaceans, eggs, fish, gluten, milk, sesame seeds, soybeans","milk, egg, wheat, soy, fish, shellfish, sesame"
87,Premium maryland-style crab cakes,https://world.openfoodfacts.org/product/0041415409453,"crab meat pasteurized crab, sodium acid phosphate, mayonnaise vegetable oil soybean, canola, egg yolk, water, corn syrup, vinegar, contains less than  of salt, spices, calcium disodium edta to protect flavor, panko bread crumbs bleached wheat flour, dextrose, yeast, and salt, eggs whole eggs, citric acid, water, green onion, worcestershire sauce distilled white vinegar, molasses, sugar, water, salt, onion, anchovies, garlic, cloves, tamarind extract, natural flavorings, chili pepper extract, lemon juice lemon juice and natural flavors, dijon mustard water, vinegar, mustard seed, salt, white wine, fruit pectin, citric acid, tartaric acid, sugar, spice, sugar, seafood seasoning blend salt, spices, paprika, kosher salt, red pepper","crustaceans, eggs, fish, gluten, mustard, soybeans","egg, wheat, soy, fish, shellfish"
88,Classic breadsticks,https://world.openfoodfacts.org/product/0779921228502,"farine de ble enrichie, huile dolive extra vierge, sel, levure fraiche, farine de ble malte contient  ble peut contenir  lait, soya, graines de sesame, moutarde","gluten, mustard, sesame seeds","wheat, sesame"
89,SURIMI FLAKE STICKS SABOR CANGREJO,https://world.openfoodfacts.org/product/0720182014410,"fish protein alaskan pollock andor whiting, water, wheat starch, egg white solution water, egg white powder, sugar, potato starch, sorbitol contains less than  of the following salt, natural al artificial flavors hydrolyzed soy protein, crab extract, sodium tripolyphosphate, tetrasodium pyrophosphate, carmine natural and artificial color  coulains fish alaskan pollock andor whiting, wheat, soy crustacean shellfish blue crab, eggs infoaquamar,net ga, ca  product of usa ndard for su","crustaceans, eggs, fish, gluten, soybeans","egg, wheat, soy, fish, shellfish"
90,Breaded crab claws from surimi,https://world.openfoodfacts.org/product/4770190036900,"apa, surimi  carne de peste, stabilizatori e, e, e, e, zahar, pesmet faina de grau, sare, condimente extract de paprika, drojdie, amidon contine grau, cleste crab, amestec de aluat faina de grau, amidon de grau modificat, amidon de grau, amidon de cartofi, sare, albus de ou, proteina din soia, ulei de rapita, zahar, sare, amidon modificat, aromatizant contine crustacee si potentiator de gust e, umectant sorbitol, potentiator de gust glutamat de monosodiu, colorant extract de paprika","crustaceans, eggs, gluten, soybeans","egg, wheat, soy, shellfish"
91,Filets de maquereaux - moutarde,https://world.openfoodfacts.org/product/3165957058010,"filet de maquereaux , eau, moutarde de dijon   eau, graines de moutarde, vinaigre dalcool, sel, acidifiant  acide citrique, antioxydant  bisulfite de sodium ou de potassium, vinaigre dalcool, huile de tournesol, sel, amidon transforme de mais, epaississants  gomme guar et gomme xanthane, poivre noir, aromes, colorant  extrait de paprika","fish, mustard",fish
92,Cod Fish Fingers,https://world.openfoodfacts.org/product/5000116111947,"cod  fish, breadcrumb coating wheat flour, water, potato starch, salt, paprika, yeast, turmeric, rapeseed oil","fish, gluten","wheat, fish"
93,Delfy,https://world.openfoodfacts.org/product/6111263000202,"maquereaux, huile de soya, sel","fish, soybeans","soy, fish"
94,Thunfisch,https://world.openfoodfacts.org/product/4056489254683,"skipjack tuna, water, table salt,",fish,fish
95,Croustibat,https://world.openfoodfacts.org/product/3599741006305,"colin dalaska , chapelure  farine de ble , huile de colza, sel, epices, levure, eau, huiles vegetales colza, coprah, farine de ble ,, amidon de ble, sel, poivre blanc, arome naturel","fish, gluten","wheat, fish"
96,Salade & Compagnie - Antibes,https://world.openfoodfacts.org/product/3242274002053,"mixed salad topped with  rice,  raw vegetables,  egg,  tuna and  olive, accompanied by a vinaigrette sauce with  balsamic vinegar, a cookie with  chocolate chips and breadsticks, mixed salad  cooked rice  water, rice, salt, egg, salad , tomatoes , sweet corn, tuna, soybeans, olives, roasted peppers, lemon juice, vegetable oils rapeseed, sunflower, water, ferments, glucose syrup, salt, natural flavors, aromatic plants, balsamic dressing sauce  rapeseed oil, virgin olive oil, wine vinegar sulphites, grape must, salt, lemon biscuit  wheat flour, concentrated butter, egg, lemon zest and puree, rapeseed oil, sugar, wheat starch, baking powders e, sodium carbonates, natural flavors, salt, poppy seeds, breadsticks  wheat flour, water, virgin olive oil, rosemary, bakers yeast, salt, poppy seeds, durum wheat semolina, sugar,","eggs, fish, gluten, milk, mustard, soybeans, sulphur dioxide and sulphites","milk, egg, wheat, soy, fish"
97,10 Fish Fingers Omega 3,https://world.openfoodfacts.org/product/5000116111978,"alaska pollock fish , breadcrumb coating, rapeseed oil breadcrumb coating wheat flour, water, potato starch, salt, paprika, yeast, turmeric","fish, gluten","wheat, fish"
98,Maquereau MARSA,https://world.openfoodfacts.org/product/0769503575261,"filets de maquereaux, huile vegetale, sel",fish,fish
